Obs,Cod_Item,Situacao_Item_Pedido,CodGrupoEstoque,Condicao_Pagamento,% Margem F brica Ped
299,3001071157,1,80,70,0.0668
300,3002081118,1,80,70,0.2843
301,3002081157,1,80,70,0.2015
302,3003081118,1,80,70,0.2769
303,3003081157,1,80,70,0.186
304,3009023016,1,85,70,0.1215
305,3009023107,1,85,70,0.2421
306,3009023507,1,85,70,0.2157
307,3009038016,1,85,70,0.2771
308,3011073034,1,80,70,0.2586
309,3009038016,1,85,45,0.2525
310,6508086110,1,86,45,0.3613
311,3001083417,1,80,70,0.5706
312,3001083617,1,80,70,0.5632
313,3001086017,1,80,70,0.5739
314,3001090917,1,80,70,0.5517
315,3003083617,1,80,70,0.5764
316,3003088317,1,80,70,0.5997
317,3003090917,1,80,70,0.5475
318,3001053401,1,80,49,0.2093
319,3001070615,1,80,49,0.2371
320,3001070617,1,80,49,0.3239
321,3001071101,1,80,49,0.1915
322,3001071115,1,80,49,0.146
323,3001071515,1,80,49,0.2325
324,3001071517,1,80,49,0.2997
325,3001075017,1,80,49,0.2972
326,3001076017,1,80,49,0.3092
327,3001083117,1,80,49,0.306
328,3003081118,1,80,49,0.2206
329,3009023107,1,85,49,0.2851
330,3011073034,1,80,49,0.2599
331,3505030130,1,80,49,0.2471
332,6065004130,1,86,49,0.3148
333,6065004230,1,86,49,0.2927
334,6065004330,1,86,49,0.3181
335,6080205010,1,86,49,0.4014
336,6080305010,1,86,49,0.4071
337,3005018001,0,80,49,1
338,6035000613,0,86,49,1
339,3001052018,1,80,45,0.344
340,3001053401,1,80,45,0.3298
341,3001070615,1,80,45,0.3533
342,3001070617,1,80,45,0.4269
343,3001071101,1,80,45,0.3147
344,3001075017,1,80,45,0.4043
345,3001079515,1,80,45,0.373
346,3009023016,1,85,45,0.2272
347,6003013213,1,86,45,0.3975
348,6035000613,1,86,45,0.4975
349,6035001063,1,86,45,0.3486
350,6080305010,1,86,45,0.4344
351,6145000334,1,86,45,0.3807
352,6508286110,1,86,45,0.3547
353,6702011863,1,81,45,0.7099
354,6035000613,1,86,45,0.4975
355,6080203510,1,86,45,0.4311
356,6080205010,1,86,45,0.429
357,6080303510,1,86,45,0.434
358,6080305010,1,86,45,0.4344
359,6145800334,1,81,45,0.365
360,3009040007,1,85,0,0.2938
361,6030003084,1,86,0,0.4088
362,3001071101,1,80,84,0.0372
363,3001075017,1,80,84,0.3007
364,3001083115,1,80,84,0.2665
365,3002077715,1,80,84,0.1301
366,3002081118,1,80,84,0.0833
367,3003081118,1,80,84,0.0739
368,3005006801,1,80,84,0.2162
369,3505030130,1,80,84,0.1974
370,6080203510,1,86,84,0.3878
371,6080205010,1,86,84,0.386
372,6080303510,1,86,84,0.3906
373,6080305010,1,86,84,0.3924
374,6080307510,1,86,84,0.4014
375,14040003005,0,80,84,1
376,3005042033,1,80,60,-0.19
377,3005043033,1,80,60,0.0329
378,3005043533,1,80,60,0.1123
379,3005044033,1,80,60,0.1412
380,3009000770,1,85,60,0.1527
381,3009000870,1,85,60,0.1573
382,3009000970,1,85,60,0.1834
383,3001071101,1,80,56,0.3176
384,3002081118,1,80,56,0.3489
385,3003081118,1,80,56,0.3422
386,3009023016,1,85,56,0.1215
387,3009034401,1,80,56,0.2248
388,3011073034,1,80,56,0.4137
389,3011073834,1,80,56,0.3919
390,3141043934,1,80,56,0.4153
391,3001071101,1,80,56,0.0263
392,3001071157,1,80,56,0.1292
393,3002081157,1,80,56,0.1596
394,3003081157,1,80,56,0.1433
395,3005006801,1,80,56,0.216
396,3005015115,1,85,56,0.4921
397,3005018001,1,80,56,0.12
398,3089005013,1,85,56,0.3734
399,3089107513,1,85,56,0.3733
400,3209608130,1,80,56,0.5485
401,6022007410,1,86,56,0.454
402,6145000428,1,81,56,0.2968
403,6508086110,1,86,56,0.3308
404,6508286110,1,86,56,0.3224
405,14020030232,1,85,56,0.3897
406,6035000613,0,86,56,1
407,3001071101,1,80,70,0.2178
408,3002081118,1,80,70,0.2387
409,3003081118,1,80,70,0.2309
410,6080203510,1,86,45,0.4119
411,6080205010,1,86,45,0.4097
412,6080303510,1,86,45,0.4149
413,6080305010,1,86,45,0.4153
414,6080307510,1,86,45,0.4245
415,3001071101,1,80,56,0.3667
416,3001075015,1,80,56,0.5213
417,3001076616,1,80,56,0.4909
418,3003081118,1,80,56,0.5005
419,3005043033,1,80,56,0.2486
420,3005043533,1,80,56,0.3108
421,3005044033,1,80,56,0.333
422,3011073134,1,80,56,0.5068
423,3001070615,1,80,60,0.3533
424,3001071101,1,80,60,0.3147
425,3001071515,1,80,60,0.3494
426,3001075015,1,80,60,0.3672
427,3001079515,1,80,60,0.373
428,3001079517,1,80,60,0.4664
429,3003070615,1,80,60,0.4125
430,3003079515,1,80,60,0.3819
431,3003081118,1,80,60,0.3393
432,3009015071,1,85,60,0.4508
433,3009015078,1,85,60,0.4508
434,3009023016,1,85,60,0.2272
435,3009023507,1,85,60,0.2794
436,3043048790,1,80,60,0.3618
437,3141048790,1,80,60,0.3494
438,3141084217,1,80,60,0.3731
439,3209703030,1,85,60,0.3139
440,3009000570,1,85,42,0.2535
441,3009023107,1,85,42,0.4279
442,3009038016,1,85,42,0.4482
443,3209703030,1,85,42,0.4249
444,3001052701,1,80,45,0.2766
445,3001053401,1,80,45,0.3091
446,3001070015,1,80,45,0.3321
447,3001070017,1,80,45,0.4189
448,3001071101,1,80,45,0.135
449,3001075015,1,80,45,0.3672
450,3001112505,1,80,45,0.3889
451,3003070015,1,80,45,0.3354
452,3003070615,1,80,45,0.4125
453,3003070617,1,80,45,0.4505
454,3003078217,1,80,45,0.4092
455,3001071157,1,80,56,0.3275
456,3002081118,1,80,56,0.3886
457,3002081157,1,80,56,0.351
458,3003081157,1,80,56,0.3384
459,3009023016,1,85,56,0.1215
460,3001070617,1,80,49,0.594
461,3001071101,1,80,49,0.4516
462,3001075017,1,80,49,0.565
463,3001086017,1,80,49,0.601
464,3003070617,1,80,49,0.6108
465,3003081118,1,80,49,0.5177
466,3009023107,1,85,35,0.4305
467,3009040007,1,85,60,0.2627
468,14020053022,1,85,60,0.3526
469,14020053032,1,85,60,0.2731
470,3001052901,1,80,56,0.3632
471,3001070615,1,80,56,0.4137
472,3001070815,1,80,56,0.3849
473,3001073615,1,80,56,0.4758
474,3001075015,1,80,56,0.4084
475,3001079517,1,80,56,0.5012
476,3002075015,1,80,56,0.4604
477,3003070015,1,80,56,0.3395
478,3003070615,1,80,56,0.4673
479,3003070617,1,80,56,0.5017
480,3003077817,1,80,56,0.4736
481,3003080590,1,80,56,0.4266
482,3003081118,1,80,56,0.3823
483,3003081318,1,80,56,0.1602
484,3009034401,1,80,56,0.2246
485,3011073834,1,80,56,0.3918
486,3021094092,1,80,56,0.3619
487,3022064092,1,80,56,0.4666
488,3022066092,1,80,56,0.4403
489,3141043934,1,80,56,0.4153
490,3001070015,1,80,70,0.4631
491,3001070017,1,80,70,0.5469
492,3001071101,1,80,70,0.296
493,3001071115,1,80,70,0.4525
494,3001073317,1,80,70,0.5927
495,3001073517,1,80,70,0.5143
496,3001075017,1,80,70,0.5494
497,3001083115,1,80,70,0.5274
498,3003076017,1,80,70,0.5784
499,3003076616,1,80,70,0.5579
500,3003081118,1,80,70,0.4691
501,3005042033,1,80,70,0.0772
502,3005042533,1,80,70,0.1982
503,3005043033,1,80,70,0.2486
504,3005044033,1,80,70,0.333
505,3005044533,1,80,70,0.3943
506,3011073034,1,80,70,0.5254
507,3141084217,1,80,70,0.5258
508,3009000770,1,85,42,0.2476
509,3001071101,1,80,49,0.3147
510,3009023016,1,85,49,0.1606
511,3009023507,1,85,49,0.2794
512,3021094092,1,80,49,0.3178
513,3022064092,1,80,49,0.4295
514,3023064092,1,80,49,0.3751
515,3009005690,1,85,35,0.152
516,3009005790,1,85,35,0.1891
517,3009007001,1,85,35,0.2261
518,3009015890,1,85,35,0.128
519,3009040007,1,85,35,0.168
520,14020030232,1,85,35,0.2919
521,3001052018,1,80,56,0.2465
522,3001071101,1,80,56,0.2399
523,3001073615,1,80,56,0.4584
524,3001073617,1,80,56,0.4011
525,3001083015,1,80,56,0.3483
526,3001083017,1,80,56,0.4032
527,3001083415,1,80,56,0.3858
528,3003081115,1,80,56,0.2959
529,3003081118,1,80,56,0.3179
530,3009023016,1,85,56,0.1684
531,3009038016,1,85,56,0.3341
532,3001079515,1,80,52,5,0.2856
533,3003081118,1,80,52,5,0.1953
534,3009007411,1,85,52,5,0.4419
535,3009010812,1,85,52,5,0.284
536,3009010912,1,85,52,5,0.2649
537,3009011012,1,85,52,5,0.2697
538,3009011112,1,85,52,5,0.258
539,3009018612,1,85,52,5,0.3503
540,3009038016,1,85,52,5,0.3019
541,3089007513,1,85,52,5,0.3353
542,3089107513,1,85,52,5,0.3353
543,6080045010,1,86,52,5,0.3647
544,6080047510,1,86,52,5,0.3647
545,6080055010,1,86,52,5,0.3647
546,6080057510,1,86,52,5,0.3647
547,6080203510,1,86,52,5,0.4133
548,6080205010,1,86,52,5,0.4111
549,6080207510,1,86,52,5,0.4188
550,6080210010,1,86,52,5,0.4359
551,6080303510,1,86,52,5,0.4164
552,6080305010,1,86,52,5,0.4167
553,6080307510,1,86,52,5,0.4259
554,6080310010,1,86,52,5,0.4385
555,14030033001,0,80,52,5,1
556,3001071101,1,80,0,0.154
557,3002081118,1,80,0,0.2711
558,3003081118,1,80,0,0.2662
559,3009001501,1,85,0,0.2483
560,3009023016,1,85,0,0.1255
561,6003046213,1,86,0,0.4005
562,6003046313,1,86,0,0.415
563,6035001067,1,86,0,0.2195
564,6080203510,1,86,0,0.3745
565,6080205010,1,86,0,0.3722
566,6080207510,1,86,0,0.3804
567,6080303510,1,86,0,0.3778
568,6080305010,1,86,0,0.3782
569,6080307510,1,86,0,0.388
570,6177001490,1,86,0,0.2745
571,6177001590,1,86,0,0.2725
572,6502286135,1,86,0,0.1987
573,6508086110,1,86,0,0.278
574,6035000613,0,86,0,1
575,3001031291,1,80,45,-0.0425
576,3005003011,1,80,45,-0.0466
577,3009034401,1,80,45,0.1322
578,3009038016,1,85,45,0.2767
579,3905018001,1,80,42,0.3441
580,6036000752,1,81,60,0.4896
581,6502072001,1,86,60,0.3408
582,6502186101,1,86,60,0.3653
583,6502251101,1,86,60,0.3338
584,3001077717,1,80,49,0.3983
585,3001090391,1,85,0,0.2887
586,3005090960,1,85,0,0.3011
587,3005006801,1,80,52,5,0.3241
588,3005018001,1,80,52,5,0.2477
589,3021094001,1,80,52,5,0.2619
590,6022000510,1,86,52,5,0.3435
591,6022000610,1,86,52,5,0.3838
592,6022012110,1,86,52,5,0.4342
593,6022012210,1,86,52,5,0.4342
594,6035000613,1,86,52,5,0.4523
595,6065004130,1,86,52,5,0.2818
596,6065004330,1,86,52,5,0.2857
597,6080205010,1,86,52,5,0.3575
598,6080305010,1,86,52,5,0.3633
599,3905009891,1,80,45,0.3518
600,3905010191,1,80,45,0.1983
601,6965004130,1,81,45,0.2728
602,6965004230,1,81,45,0.2514
603,3009023016,1,85,51,33333333,0.2071
604,6080203510,1,86,51,33333333,0.4338
605,6080205010,1,86,51,33333333,0.4318
606,6080207510,1,86,51,33333333,0.4391
607,6080303510,1,86,51,33333333,0.4536
608,6080305010,1,86,51,33333333,0.4371
609,6080307510,1,86,51,33333333,0.446
610,3001052018,1,80,63,0.3272
611,3001052701,1,80,63,0.1699
612,3009023107,1,85,63,0.2732
